Date,Open,High,Low,Close,Vol
6/24/2016,281.04999,299.75,266.60001,295.35001,99412
6/27/2016,293,296,288.39999,293.20001,78584
6/28/2016,293.39999,298.5,291,295.64999,77427
6/29/2016,295,302.79999,294.89999,296.75,98187
6/30/2016,297.25,302.39999,291,294.85001,447239
7/1/2016,294.89999,298.89999,294,296.70001,60122
7/4/2016,296.79999,306,295,300.89999,146809
7/5/2016,301,304.5,295.25,296.5,64281
7/7/2016,296.54999,302.95001,296.54999,297.70001,72177
7/8/2016,299,301.54999,296,296.20001,42066
7/11/2016,296.79999,299.79999,291.04999,293.20001,60233
7/12/2016,293.89999,295.79999,291.10001,291.85001,68113
7/13/2016,293,294.75,289,289.14999,44609
7/14/2016,289.5,293.70001,289,290.39999,50329
7/15/2016,288.5,290.70001,285.95001,288.29999,36488
7/18/2016,288.45001,289.39999,282.25,285.89999,104792
7/19/2016,286,288.64999,283,284.85001,45184
7/20/2016,285,288.64999,283,287.35001,33373
7/21/2016,285,299,285,295.64999,97893
7/22/2016,296,299.95001,296,296.5,62919
7/25/2016,296,303,293.5,299.25,42782
7/26/2016,296.20001,300.60001,296,297.39999,27213
7/27/2016,295.79999,309,295.79999,306.85001,154662
7/28/2016,306.29999,310.39999,297.75,303,94246
7/29/2016,302,304,296.70001,298.5,56374
8/1/2016,300.79999,300.79999,291.75,293.25,64555
8/2/2016,292.45001,296.89999,290,294.64999,52594
8/3/2016,294.29999,297.5,291.5,295.25,29698
8/4/2016,295.60001,303.79999,295.35001,297.70001,52060
8/5/2016,298.29999,303.79999,297.64999,301.70001,49782
8/8/2016,301.95001,303.10001,295.85001,297.25,45984
8/9/2016,295,299,292.10001,292.85001,28342
8/10/2016,293.5,294.39999,290,290.35001,19405
8/11/2016,290,305,286.95001,292.14999,39832
8/12/2016,292.95001,297,284.89999,293.04999,52413
8/16/2016,294,295.29999,287.95001,290.14999,53013
8/17/2016,290.75,312,289.54999,304.45001,130000
8/18/2016,305,305.95001,298.85001,302.79999,48651
8/19/2016,300,307.70001,298,299.64999,57451
8/22/2016,299.79999,302,297,297.64999,16308
8/23/2016,295,298.10001,292.85001,295.89999,28538
8/24/2016,294,304.79999,294,302.10001,59364
8/25/2016,319.89999,320,297,298.89999,125485
8/26/2016,300.04999,306,298.29999,302.95001,72404
8/29/2016,302,308.10001,298.35001,300.10001,46431
8/30/2016,300.54999,311,300.54999,306.25,104163
8/31/2016,306.5,311,306,307.95001,76478
9/1/2016,308.04999,309.70001,301.25,304.95001,103249
9/2/2016,306.79999,310.5,299.45001,302.70001,99929
9/6/2016,303,306.79999,300,305.25,106119
9/7/2016,306.64999,307,299,300,58547
9/8/2016,299.10001,327,299.10001,315,1134535
9/9/2016,316.89999,319.39999,305,305.39999,111591
9/12/2016,300,302,294,298.10001,66008
9/14/2016,296,303.64999,296,298.25,61854
9/15/2016,300,314.79999,297.95001,306.5,178646
9/16/2016,306.5,313.89999,298,302.29999,142466
9/19/2016,315,321,310,313.60001,376512
9/20/2016,314.79999,321,312.79999,318.29999,183662
9/21/2016,320,320.5,308.79999,312.25,92147
9/22/2016,317.04999,317.04999,312.14999,313.04999,59458
9/23/2016,316,319.39999,310.35001,312.45001,75027
9/26/2016,312.20001,312.20001,305,305.54999,54461
9/27/2016,308,310,302.5,304.54999,41483
9/28/2016,306.04999,310,301.20001,302.45001,105445
9/29/2016,306.60001,308,292.5,297.25,128164
9/30/2016,291,313.85001,291,305.95001,80218
10/3/2016,306,316,304.04999,309,106008
10/4/2016,308.60001,312.35001,307,309.64999,45727
10/5/2016,309.70001,312,306.70001,310.89999,40147
10/6/2016,311.64999,328.95001,311.64999,324.29999,419369
10/7/2016,326,339.75,320.45001,337.85001,400676
10/10/2016,338,338.79999,327.5,331.20001,79614
10/13/2016,327.79999,330,318.10001,325.25,85980
10/14/2016,327.75,335,326.10001,328.10001,56136
10/17/2016,328,330.54999,320,322.64999,48852
10/18/2016,321.5,332.25,321.5,330.14999,69346
10/19/2016,331.70001,337.5,326.5,334.89999,148327
10/20/2016,337.60001,343,332.39999,335.89999,168346
10/21/2016,336.5,338.89999,330,331.39999,47723
10/24/2016,326,342.85001,326,339.04999,92025
10/25/2016,340,349.89999,332.39999,335.5,201298
10/26/2016,335.5,338.45001,330,331.60001,33910
10/27/2016,329.29999,337.70001,329.29999,332.60001,38189
10/28/2016,332,337.89999,331,333.85001,37372
11/1/2016,336,343,332,340.7,87346
