Date,Open,High,Low,Close
12/21/2015,7745.6499,7840.75,7733.4502,7834.4502
12/22/2015,7829.3999,7846.2998,7776.8501,7786.1001
12/23/2015,7830.4502,7871.4502,7826.1001,7865.9502
12/24/2015,7888.75,7888.75,7835.5,7861.0498
12/28/2015,7863.2002,7937.2002,7863,7925.1499
12/29/2015,7929.2002,7942.1499,7902.75,7928.9502
12/30/2015,7938.6001,7944.75,7889.8501,7896.25
12/31/2015,7897.7998,7955.5498,7891.1499,7946.3501
1/1/2016,7938.4502,7972.5498,7909.7998,7963.2002
1/4/2016,7924.5498,7937.5498,7781.1001,7791.2998
1/5/2016,7828.3999,7831.2002,7763.25,7784.6499
1/6/2016,7788.0498,7800.9502,7721.2002,7741
1/7/2016,7673.3501,7674.9502,7556.6001,7568.2998
1/8/2016,7611.6499,7634.1001,7581.0498,7601.3501
1/11/2016,7527.4502,7605.1001,7494.3501,7563.8501
1/12/2016,7587.2002,7588.2998,7487.7998,7510.2998
1/13/2016,7557.8999,7590.9502,7425.7998,7562.3999
1/14/2016,7467.3999,7604.7998,7443.7998,7536.7998
1/15/2016,7561.6499,7566.5,7427.2998,7437.7998
1/18/2016,7420.3501,7463.6499,7336.3999,7351
1/19/2016,7381.7998,7462.75,7364.1499,7435.1001
1/20/2016,7357,7470.8999,7241.5,7309.2998
1/21/2016,7376.6499,7398.7002,7250,7276.7998
1/22/2016,7355.7002,7433.3999,7327.6001,7422.4502
1/25/2016,7468.75,7487.1499,7421.2002,7436.1499
1/27/2016,7469.6001,7477.8999,7419.7002,7437.75
1/28/2016,7426.5,7468.8501,7409.6001,7424.6499
1/29/2016,7413.3501,7575.6499,7402.7998,7563.5498
2/1/2016,7589.5,7600.4502,7541.25,7555.9502
2/2/2016,7566.6499,7576.2998,7428.0498,7455.5498
2/3/2016,7392.4502,7419.3999,7350.2998,7361.7998
2/4/2016,7411.4502,7457.0498,7365.9502,7404
2/5/2016,7418.25,7503.1499,7406.6499,7489.1001
2/8/2016,7489.7002,7512.5498,7363.2002,7387.25
2/9/2016,7303.9502,7323.4502,7275.1499,7298.2002
2/10/2016,7264.2998,7271.8501,7177.75,7215.7002
2/11/2016,7203.6001,7208.6499,6959.9502,6976.3501
2/12/2016,7023.6499,7034.7998,6869,6980.9502
2/15/2016,7057.3501,7182.7998,7056.7998,7162.9502
2/16/2016,7201.25,7204.6499,7037.7002,7048.25
2/17/2016,7058.8501,7123.7002,6960.6499,7108.4502
2/18/2016,7177.3999,7215.1001,7127.8501,7191.75
2/19/2016,7170.5498,7226.8501,7145.9502,7210.75
2/22/2016,7208.8501,7252.3999,7200.7002,7234.5498
2/23/2016,7240.2998,7241.7002,7090.7002,7109.5498
2/24/2016,7075,7090.7998,7009.75,7018.7002
2/25/2016,7029.8501,7034.2002,6961.3999,6970.6001
2/26/2016,7039.2998,7052.8999,6985.1001,7029.75
2/29/2016,7050.4502,7094.6001,6825.7998,6987.0498
3/1/2016,7038.25,7235.5,7035.1001,7222.2998
3/2/2016,7321.7002,7380.3501,7308.1499,7368.8501
3/3/2016,7429.5498,7483.9502,7406.0498,7475.6001
3/4/2016,7505.3999,7505.8999,7444.1001,7485.3501
3/8/2016,7486.3999,7527.1499,7442.1499,7485.2998
3/9/2016,7436.1001,7539,7424.2998,7531.7998
3/10/2016,7545.3501,7547.1001,7447.3999,7486.1499
3/11/2016,7484.8501,7543.9502,7460.6001,7510.2002
3/14/2016,7542.6001,7583.7002,7515.0498,7538.75
3/15/2016,7535.8501,7545.2002,7452.7998,7460.6001
3/16/2016,7457.0498,7508,7405.1499,7498.75
3/17/2016,7557.3999,7585.2998,7479.3999,7512.5498
3/18/2016,7534.6499,7613.6001,7517.8999,7604.3501
3/21/2016,7619.2002,7713.5498,7617.7002,7704.25
3/22/2016,7695.5498,7728.2002,7643.7998,7714.8999
3/23/2016,7717.4502,7726.8501,7670.6001,7716.5
3/28/2016,7741,7749.3999,7587.7002,7615.1001
3/29/2016,7606.5498,7652.8999,7582.25,7597
3/30/2016,7651.1001,7741.9502,7643.4502,7735.2002
3/31/2016,7727.6499,7777.6001,7702,7738.3999
4/1/2016,7718.0498,7740.1499,7666.1001,7713.0498
4/4/2016,7733.1499,7764.4502,7704.3999,7758.7998
4/5/2016,7736.2998,7736.2998,7588.6499,7603.2002
4/6/2016,7636.0498,7638.6499,7591.75,7614.3501
4/7/2016,7630.3999,7630.75,7535.8501,7546.4502
4/8/2016,7542.3501,7569.3501,7526.7002,7555.2002
4/11/2016,7577.7998,7678.7998,7516.8501,7671.3999
4/12/2016,7669.25,7717.3999,7663.3501,7708.9502
4/13/2016,7777.1499,7864.7998,7772.2002,7850.4502
4/18/2016,7908.1499,7920.6001,7842.75,7914.7002
4/20/2016,7950.0498,7950.3999,7877.5498,7914.75
4/21/2016,7953.6499,7978.4502,7884.1001,7912.0498
4/22/2016,7891.7998,7923.3501,7873.3501,7899.2998
4/25/2016,7894.7998,7911,7827,7855.0498
